x,y,z,a,b,c,e,coil1,coil2,timestamp,
5.099391918,-6.1641059422,0,270.792,0,180,1,2000,2000,7.72,193
5.8317490194,-5.4763768474,0,271.26,0,180,1,2000,2000,7.76,194
6.472135955,-4.7022820183,0,271.728,0,180,1,2000,2000,7.8,195
7.0104534404,-3.8540293928,0,272.196,0,180,1,2000,2000,7.84,196
7.4382118871,-2.9449964215,0,272.664,0,180,1,2000,2000,7.88,197
7.748665289,-1.9895190973,0,273.132,0,180,1,2000,2000,7.92,198
7.9369176105,-1.0026658685,0,273.6,0,180,1,2000,2000,7.96,199
8,2.05839699158609E-14,0,274.068,0,180,1,2000,2000,8,200
7.9369176105,1.0026658685,0,274.536,0,180,1,2000,2000,8.04,201
7.748665289,1.9895190973,0,275.004,0,180,1,2000,2000,8.08,202
7.4382118871,2.9449964215,0,275.472,0,180,1,2000,2000,8.12,203
7.0104534404,3.8540293928,0,275.94,0,180,1,2000,2000,8.16,204
6.472135955,4.7022820183,0,276.408,0,180,1,2000,2000,8.2,205
5.8317490194,5.4763768474,0,276.876,0,180,1,2000,2000,8.24,206
5.099391918,6.1641059422,0,277.344,0,180,1,2000,2000,8.28,207
4.2866143598,6.754623404,0,277.812,0,180,1,2000,2000,8.32,208
3.4062343325,7.2386164197,0,278.28,0,180,1,2000,2000,8.36,209
2.472135955,7.6084521304,0,278.748,0,180,1,2000,2000,8.4,210
1.4990505167,7.8582980058,0,279.216,0,180,1,2000,2000,8.44,211
0.5023241562,7.9842138274,0,279.684,0,180,1,2000,2000,8.48,212
-0.5023241562,7.9842138274,0,280.152,0,180,1,2000,2000,8.52,213
-1.4990505167,7.8582980058,0,280.62,0,180,1,2000,2000,8.56,214
-2.472135955,7.6084521304,0,281.088,0,180,1,2000,2000,8.6,215
-3.4062343325,7.2386164197,0,281.556,0,180,1,2000,2000,8.64,216
-4.2866143598,6.754623404,0,282.024,0,180,1,2000,2000,8.68,217
-5.099391918,6.1641059422,0,282.492,0,180,1,2000,2000,8.72,218
-5.8317490194,5.4763768474,0,282.96,0,180,1,2000,2000,8.76,219
-6.472135955,4.7022820183,0,283.428,0,180,1,2000,2000,8.8,220
-7.0104534404,3.8540293928,0,283.896,0,180,1,2000,2000,8.84,221
-7.4382118871,2.9449964215,0,284.364,0,180,1,2000,2000,8.88,222
-7.748665289,1.9895190973,0,284.832,0,180,1,2000,2000,8.92,223
-7.9369176105,1.0026658685,0,285.3,0,180,1,2000,2000,8.96,224
-8,-1.96042524765431E-14,0,285.768,0,180,1,2000,2000,9,225
-7.9369176105,-1.0026658685,0,286.236,0,180,1,2000,2000,9.04,226
-7.748665289,-1.9895190973,0,286.704,0,180,1,2000,2000,9.08,227
-7.4382118871,-2.9449964215,0,287.172,0,180,1,2000,2000,9.12,228
-7.0104534404,-3.8540293928,0,287.64,0,180,1,2000,2000,9.16,229
-6.472135955,-4.7022820183,0,288.108,0,180,1,2000,2000,9.2,230
-5.8317490194,-5.4763768474,0,288.576,0,180,1,2000,2000,9.24,231
-5.099391918,-6.1641059422,0,289.044,0,180,1,2000,2000,9.28,232
-4.2866143598,-6.754623404,0,289.512,0,180,1,2000,2000,9.32,233
-3.4062343325,-7.2386164197,0,289.98,0,180,1,2000,2000,9.36,234
-2.472135955,-7.6084521304,0,290.448,0,180,1,2000,2000,9.4,235
-1.4990505167,-7.8582980058,0,290.916,0,180,1,2000,2000,9.44,236
-0.5023241562,-7.9842138274,0,291.384,0,180,1,2000,2000,9.48,237
0.5023241562,-7.9842138274,0,291.852,0,180,1,2000,2000,9.52,238
1.4990505167,-7.8582980058,0,292.32,0,180,1,2000,2000,9.56,239
2.472135955,-7.6084521304,0,292.788,0,180,1,2000,2000,9.6,240
3.4062343325,-7.2386164197,0,293.256,0,180,1,2000,2000,9.64,241
4.2866143598,-6.754623404,0,293.724,0,180,1,2000,2000,9.68,242
5.099391918,-6.1641059422,0,294.192,0,180,1,2000,2000,9.72,243
5.8317490194,-5.4763768474,0,294.66,0,180,1,2000,2000,9.76,244
6.472135955,-4.7022820183,0,295.128,0,180,1,2000,2000,9.8,245
7.0104534404,-3.8540293928,0,295.596,0,180,1,2000,2000,9.84,246
7.4382118871,-2.9449964215,0,296.064,0,180,1,2000,2000,9.88,247
7.748665289,-1.9895190973,0,296.532,0,180,1,2000,2000,9.92,248
7.9369176105,-1.0026658685,0,297,0,180,1,2000,2000,9.96,249
8,1.86245350372252E-14,0,297.468,0,180,1,2000,2000,10,250
7.9369176105,1.0026658685,0,297.936,0,180,1,2000,2000,10.04,251
7.748665289,1.9895190973,0,298.404,0,180,1,2000,2000,10.08,252
7.4382118871,2.9449964215,0,298.872,0,180,1,2000,2000,10.12,253
7.0104534404,3.8540293928,0,299.34,0,180,1,2000,2000,10.16,254
6.472135955,4.7022820183,0,299.808,0,180,1,2000,2000,10.2,255
5.8317490194,5.4763768474,0,300.276,0,180,1,2000,2000,10.24,256
5.099391918,6.1641059422,0,300.744,0,180,1,2000,2000,10.28,257
4.2866143598,6.754623404,0,301.212,0,180,1,2000,2000,10.32,258
3.4062343325,7.2386164197,0,301.68,0,180,1,2000,2000,10.36,259
2.472135955,7.6084521304,0,302.148,0,180,1,2000,2000,10.4,260
1.4990505167,7.8582980058,0,302.616,0,180,1,2000,2000,10.44,261
0.5023241562,7.9842138274,0,303.084,0,180,1,2000,2000,10.48,262
-0.5023241562,7.9842138274,0,303.552,0,180,1,2000,2000,10.52,263
-1.4990505167,7.8582980058,0,304.02,0,180,1,2000,2000,10.56,264
-2.472135955,7.6084521304,0,304.488,0,180,1,2000,2000,10.6,265
-3.4062343325,7.2386164197,0,304.956,0,180,1,2000,2000,10.64,266
-4.2866143598,6.754623404,0,305.424,0,180,1,2000,2000,10.68,267
-5.099391918,6.1641059422,0,305.892,0,180,1,2000,2000,10.72,268
-5.8317490194,5.4763768474,0,306.36,0,180,1,2000,2000,10.76,269
-6.472135955,4.7022820183,0,306.828,0,180,1,2000,2000,10.8,270
-7.0104534404,3.8540293928,0,307.296,0,180,1,2000,2000,10.84,271
-7.4382118871,2.9449964215,0,307.764,0,180,1,2000,2000,10.88,272
-7.748665289,1.9895190973,0,308.232,0,180,1,2000,2000,10.92,273
-7.9369176105,1.0026658685,0,308.7,0,180,1,2000,2000,10.96,274
-8,-1.76448175979073E-14,0,309.168,0,180,1,2000,2000,11,275
-7.9369176105,-1.0026658685,0,309.636,0,180,1,2000,2000,11.04,276
-7.748665289,-1.9895190973,0,310.104,0,180,1,2000,2000,11.08,277
-7.4382118871,-2.9449964215,0,310.572,0,180,1,2000,2000,11.12,278
-7.0104534404,-3.8540293928,0,311.04,0,180,1,2000,2000,11.16,279
-6.472135955,-4.7022820183,0,311.508,0,180,1,2000,2000,11.2,280
-5.8317490194,-5.4763768474,0,311.976,0,180,1,2000,2000,11.24,281
-5.099391918,-6.1641059422,0,312.444,0,180,1,2000,2000,11.28,282
-4.2866143598,-6.754623404,0,312.912,0,180,1,2000,2000,11.32,283
-3.4062343325,-7.2386164197,0,313.38,0,180,1,2000,2000,11.36,284
-2.472135955,-7.6084521304,0,313.848,0,180,1,2000,2000,11.4,285
-1.4990505167,-7.8582980058,0,314.316,0,180,1,2000,2000,11.44,286
-0.5023241562,-7.9842138274,0,314.784,0,180,1,2000,2000,11.48,287
0.5023241562,-7.9842138274,0,315.252,0,180,1,2000,2000,11.52,288
1.4990505167,-7.8582980058,0,315.72,0,180,1,2000,2000,11.56,289
2.472135955,-7.6084521304,0,316.188,0,180,1,2000,2000,11.6,290
3.4062343325,-7.2386164197,0,316.656,0,180,1,2000,2000,11.64,291
4.2866143598,-6.754623404,0,317.124,0,180,1,2000,2000,11.68,292
5.099391918,-6.1641059422,0,317.592,0,180,1,2000,2000,11.72,293
5.8317490194,-5.4763768474,0,318.06,0,180,1,2000,2000,11.76,294
6.472135955,-4.7022820183,0,318.528,0,180,1,2000,2000,11.8,295
7.0104534404,-3.8540293928,0,318.996,0,180,1,2000,2000,11.84,296
7.4382118871,-2.9449964215,0,319.464,0,180,1,2000,2000,11.88,297
7.748665289,-1.9895190973,0,319.932,0,180,1,2000,2000,11.92,298
7.9369176105,-1.0026658685,0,320.4,0,180,1,2000,2000,11.96,299
8,-1.17566092718146E-14,0,320.868,0,180,1,2000,2000,12,300
7.9369176105,1.0026658685,0,321.336,0,180,1,2000,2000,12.04,301
7.748665289,1.9895190973,0,321.804,0,180,1,2000,2000,12.08,302
7.4382118871,2.9449964215,0,322.272,0,180,1,2000,2000,12.12,303
7.0104534404,3.8540293928,0,322.74,0,180,1,2000,2000,12.16,304
6.472135955,4.7022820183,0,323.208,0,180,1,2000,2000,12.2,305
5.8317490194,5.4763768474,0,323.676,0,180,1,2000,2000,12.24,306
5.099391918,6.1641059422,0,324.144,0,180,1,2000,2000,12.28,307
4.2866143598,6.754623404,0,324.612,0,180,1,2000,2000,12.32,308
3.4062343325,7.2386164197,0,325.08,0,180,1,2000,2000,12.36,309
2.472135955,7.6084521304,0,325.548,0,180,1,2000,2000,12.4,310
1.4990505167,7.8582980058,0,326.016,0,180,1,2000,2000,12.44,311
0.5023241562,7.9842138274,0,326.484,0,180,1,2000,2000,12.48,312
-0.5023241562,7.9842138274,0,326.952,0,180,1,2000,2000,12.52,313
-1.4990505167,7.8582980058,0,327.42,0,180,1,2000,2000,12.56,314
-2.472135955,7.6084521304,0,327.888,0,180,1,2000,2000,12.6,315
-3.4062343325,7.2386164197,0,328.356,0,180,1,2000,2000,12.64,316
-4.2866143598,6.754623404,0,328.824,0,180,1,2000,2000,12.68,317
-5.099391918,6.1641059422,0,329.292,0,180,1,2000,2000,12.72,318
-5.8317490194,5.4763768474,0,329.76,0,180,1,2000,2000,12.76,319
-6.472135955,4.7022820183,0,330.228,0,180,1,2000,2000,12.8,320
-7.0104534404,3.8540293928,0,330.696,0,180,1,2000,2000,12.84,321
-7.4382118871,2.9449964215,0,331.164,0,180,1,2000,2000,12.88,322
-7.748665289,1.9895190973,0,331.632,0,180,1,2000,2000,12.92,323
-7.9369176105,1.0026658685,0,332.1,0,180,1,2000,2000,12.96,324
-8,-1.56853827192715E-14,0,332.568,0,180,1,2000,2000,13,325
-7.9369176105,-1.0026658685,0,333.036,0,180,1,2000,2000,13.04,326
-7.748665289,-1.9895190973,0,333.504,0,180,1,2000,2000,13.08,327
-7.4382118871,-2.9449964215,0,333.972,0,180,1,2000,2000,13.12,328
-7.0104534404,-3.8540293928,0,334.44,0,180,1,2000,2000,13.16,329
-6.472135955,-4.7022820183,0,334.908,0,180,1,2000,2000,13.2,330
-5.8317490194,-5.4763768474,0,335.376,0,180,1,2000,2000,13.24,331
-5.099391918,-6.1641059422,0,335.844,0,180,1,2000,2000,13.28,332
-4.2866143598,-6.754623404,0,336.312,0,180,1,2000,2000,13.32,333
-3.4062343325,-7.2386164197,0,336.78,0,180,1,2000,2000,13.36,334
-2.472135955,-7.6084521304,0,337.248,0,180,1,2000,2000,13.4,335
-1.4990505167,-7.8582980058,0,337.716,0,180,1,2000,2000,13.44,336
-0.5023241562,-7.9842138274,0,338.184,0,180,1,2000,2000,13.48,337
0.5023241562,-7.9842138274,0,338.652,0,180,1,2000,2000,13.52,338
1.4990505167,-7.8582980058,0,339.12,0,180,1,2000,2000,13.56,339
2.472135955,-7.6084521304,0,339.588,0,180,1,2000,2000,13.6,340
3.4062343325,-7.2386164197,0,340.056,0,180,1,2000,2000,13.64,341
4.2866143598,-6.754623404,0,340.524,0,180,1,2000,2000,13.68,342
5.099391918,-6.1641059422,0,340.992,0,180,1,2000,2000,13.72,343
5.8317490194,-5.4763768474,0,341.46,0,180,1,2000,2000,13.76,344
6.472135955,-4.7022820183,0,341.928,0,180,1,2000,2000,13.8,345
7.0104534404,-3.8540293928,0,342.396,0,180,1,2000,2000,13.84,346
7.4382118871,-2.9449964215,0,342.864,0,180,1,2000,2000,13.88,347
7.748665289,-1.9895190973,0,343.332,0,180,1,2000,2000,13.92,348
7.9369176105,-1.0026658685,0,343.8,0,180,1,2000,2000,13.96,349
8,4.31273747103577E-14,0,344.268,0,180,1,2000,2000,14,350
7.9369176105,1.0026658685,0,344.736,0,180,1,2000,2000,14.04,351
7.748665289,1.9895190973,0,345.204,0,180,1,2000,2000,14.08,352
7.4382118871,2.9449964215,0,345.672,0,180,1,2000,2000,14.12,353
7.0104534404,3.8540293928,0,346.14,0,180,1,2000,2000,14.16,354
6.472135955,4.7022820183,0,346.608,0,180,1,2000,2000,14.2,355
5.8317490194,5.4763768474,0,347.076,0,180,1,2000,2000,14.24,356
5.099391918,6.1641059422,0,347.544,0,180,1,2000,2000,14.28,357
4.2866143598,6.754623404,0,348.012,0,180,1,2000,2000,14.32,358
3.4062343325,7.2386164197,0,348.48,0,180,1,2000,2000,14.36,359
2.472135955,7.6084521304,0,348.948,0,180,1,2000,2000,14.4,360
1.4990505167,7.8582980058,0,349.416,0,180,1,2000,2000,14.44,361
